Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,Franchise,Critic_Count_Log,User_Count_Log
PSP,2008,Sports,Ubisoft,70.0,5,7.5,4,Ubisoft,E10+,2000s,Other,1.791759469228055,1.6094379124341005
PS2,2008,Action,Activision,56.0,4,5.8,6,Toys for Bob,E,2000s,Other,1.6094379124341005,1.9459101490553128
PS2,2005,Action,Activision,74.0,52,7.9,54,Treyarch,T,2000s,Other,3.970291913552122,4.007333185232471
PSP,2008,Role-Playing,Sting,73.0,17,7.9,18,Sting,T,2000s,Other,2.8903717578961645,2.9444389791664403
DS,2011,Role-Playing,Ghostlight,79.0,21,8.8,45,Atlus,T,2010s,Other,3.091042453358316,3.828641396489095
XB,2004,Role-Playing,Activision,82.0,63,8.5,14,Raven Software,T,2000s,Other,4.158883083359672,2.70805020110221
GC,2002,Racing,Acclaim Entertainment,78.0,18,7.9,18,Criterion Games,E,2000s,Other,2.9444389791664403,2.9444389791664403
X360,2007,Shooter,Vivendi Games,66.0,43,7.1,16,"TimeGate Studios, Day 1 Studios",M,2000s,Other,3.784189633918261,2.833213344056216
PS2,2004,Misc,Sega,72.0,28,7.0,5,Sonic Team,T,2000s,Other,3.367295829986474,1.791759469228055
PS3,2010,Fighting,Konami Digital Entertainment,54.0,6,7.1,10,Immersion Software & Graphics,T,2010s,Other,1.9459101490553128,2.3978952727983707
PS,2000,Role-Playing,Namco Bandai Games,78.0,9,8.7,31,Namco,T,2000s,Other,2.302585092994046,3.4657359027997265
Wii,2009,Action,Activision,55.0,32,7.0,28,Artificial Mind and Movement,T,2000s,Other,3.49650756146648,3.367295829986474
Wii,2009,Platform,Ubisoft,68.0,4,5.3,4,Ubisoft Shanghai,E,2000s,Other,1.6094379124341005,1.6094379124341005
PC,2003,Platform,Ubisoft,74.0,8,8.3,70,Ubisoft,E,2000s,Other,2.19722457733622,4.262679877041316
PS2,2001,Role-Playing,Sony Computer Entertainment,67.0,13,7.5,27,Cattle Call,T,2000s,Other,2.639057329615259,3.332204510175204
DS,2009,Racing,Electronic Arts,67.0,11,7.3,4,EA Games,E,2000s,Other,2.4849066497880004,1.6094379124341005
PS2,2005,Misc,Oxygen Interactive,67.0,20,7.5,27,Point of View,T,2000s,Other,3.044522437723423,3.332204510175204
X360,2007,Action,Sega,41.0,25,4.1,14,Shiny Entertainment,E10+,2000s,Other,3.258096538021482,2.70805020110221
GBA,2004,Role-Playing,"Destination Software, Inc",76.0,17,6.5,11,Magic Pockets,T,2000s,Other,2.8903717578961645,2.4849066497880004
X360,2012,Shooter,Namco Bandai Games,53.0,51,6.5,72,Saber Interactive,M,2010s,Other,3.951243718581428,4.290459441148391
PS,2001,Sports,Activision,87.0,10,8.3,36,Shaba Games,E,2000s,Other,2.3978952727983707,3.610917912644224
Wii,2007,Racing,Electronic Arts,61.0,16,6.9,14,EA Games,E10+,2000s,Other,2.833213344056216,2.70805020110221
GBA,2001,Role-Playing,Capcom,79.0,10,8.9,24,Capcom,E,2000s,Other,2.3978952727983707,3.218875824868201
X360,2006,Sports,Take-Two Interactive,81.0,75,7.8,69,Rockstar San Diego,E,2000s,Other,4.330733340286331,4.248495242049359
PC,2008,Racing,Electronic Arts,65.0,18,4.9,231,EA Black Box,T,2000s,Other,2.9444389791664403,5.44673737166631
DS,2006,Adventure,Disney Interactive Studios,63.0,11,8.6,7,Amaze Entertainment,T,2000s,Other,2.4849066497880004,2.079441541679836
X360,2010,Misc,Microsoft Game Studios,61.0,45,6.3,106,Good Science Studio,E,2010s,Other,3.828641396489095,4.672828834461906
GBA,2003,Action,THQ,44.0,16,8.6,5,Natsume,T,2000s,Other,2.833213344056216,1.791759469228055
X360,2008,Fighting,505 Games,71.0,22,6.6,8,Arc System Works,T,2000s,Other,3.1354942159291497,2.19722457733622
GBA,2002,Shooter,BAM! Entertainment,60.0,10,7.5,27,Graphic State,E,2000s,Other,2.3978952727983707,3.332204510175204
X360,2005,Sports,Activision,75.0,43,7.2,21,Neversoft Entertainment,T,2000s,Other,3.784189633918261,3.091042453358316
Wii,2009,Sports,Konami Digital Entertainment,82.0,13,8.4,17,Konami,E,2000s,Other,2.639057329615259,2.8903717578961645
XB,2004,Shooter,Atari,66.0,38,8.6,5,Paradigm Entertainment,T,2000s,Other,3.6635616461296463,1.791759469228055
Wii,2009,Misc,Electronic Arts,67.0,11,7.5,27,EA Bright Light,E,2000s,Other,2.4849066497880004,3.332204510175204
DS,2004,Puzzle,Nintendo,73.0,34,8.4,17,Mitchell,E,2000s,Other,3.555348061489413,2.8903717578961645
PS2,2004,Sports,Zoo Digital Publishing,70.0,15,8.7,12,Tecmo,E,2000s,Other,2.772588722239781,2.5649493574615367
PS2,2001,Platform,Ubisoft,59.0,7,7.1,7,Ubisoft,E,2000s,Other,2.079441541679836,2.079441541679836
PS2,2003,Simulation,Konami Digital Entertainment,82.0,33,8.9,65,KCEJ,M,2000s,Other,3.5263605246161616,4.189654742026425
X360,2006,Action,LucasArts,81.0,50,8.0,45,Traveller's Tales,E10+,2000s,Other,3.9318256327243257,3.828641396489095
GC,2002,Fighting,Activision,75.0,27,8.5,20,Eighting/Raizing,T,2000s,Other,3.332204510175204,3.044522437723423
DS,2008,Platform,Zoo Digital Publishing,44.0,5,7.5,27,Black Lantern Studios,E,2000s,Other,1.791759469228055,3.332204510175204
