Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Total_Rating
18,2007,7,22,0.2,0.13,0.22,0.09,74.0,32.0,7.4,28.0,7,74.0
4,2011,0,19,0.08,0.0,0.0,0.01,71.0,22.0,7.5,24.0,1,73.0
16,2010,10,10,0.22,0.12,0.0,0.06,71.0,33.0,5.7,14.0,1,64.0
25,2010,4,23,0.21,0.01,0.0,0.02,56.0,4.0,7.5,24.0,1,65.5
15,2007,6,19,0.01,0.01,0.0,0.0,71.0,22.0,7.5,24.0,1,73.0
18,2011,7,22,0.13,0.09,0.27,0.06,77.0,41.0,7.5,80.0,2,76.0
6,2004,3,19,0.12,0.05,0.0,0.0,66.0,5.0,7.5,24.0,1,70.5
7,2005,0,26,0.11,0.03,0.0,0.0,84.0,34.0,8.1,22.0,5,82.5
14,1996,8,12,0.14,0.09,0.0,0.02,71.0,22.0,7.5,24.0,8,73.0
2,2012,7,19,0.0,0.0,0.06,0.0,71.0,22.0,7.5,24.0,8,73.0
4,2010,9,22,0.0,0.0,0.02,0.0,71.0,22.0,7.5,24.0,8,73.0
4,2007,0,16,0.0,0.0,0.03,0.0,71.0,22.0,7.5,24.0,8,73.0
18,2009,0,9,0.0,0.01,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
4,2007,9,19,0.09,0.02,0.0,0.01,68.0,9.0,7.5,24.0,1,71.5
18,2006,11,16,0.0,0.0,0.02,0.0,71.0,22.0,7.5,24.0,8,73.0
3,2001,1,20,0.0,0.0,0.33,0.0,71.0,22.0,7.5,24.0,8,73.0
18,2008,9,19,0.0,0.0,0.02,0.0,71.0,22.0,7.5,24.0,8,73.0
18,2010,9,21,0.02,0.17,0.0,0.09,57.0,19.0,7.5,24.0,1,66.0
4,2007,1,12,0.0,0.0,0.05,0.0,71.0,22.0,7.5,24.0,8,73.0
20,1997,7,19,0.0,0.0,0.31,0.0,71.0,22.0,7.5,24.0,8,73.0
15,2008,3,21,0.0,0.04,0.0,0.57,71.0,22.0,7.5,24.0,8,73.0
26,2013,0,2,0.05,0.03,0.0,0.01,71.0,22.0,7.5,24.0,8,73.0
26,2015,0,19,0.03,0.02,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
27,2007,8,15,0.4,0.33,0.01,0.09,77.0,59.0,7.6,91.0,5,76.5
9,1998,6,1,0.31,0.07,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
27,2005,0,25,0.0,0.0,0.01,0.0,71.0,22.0,7.5,24.0,8,73.0
27,2011,0,19,0.09,0.03,0.03,0.01,71.0,9.0,8.1,19.0,7,76.0
15,2003,10,1,0.2,0.16,0.0,0.05,71.0,22.0,7.5,24.0,8,73.0
4,2007,3,16,0.0,0.0,0.04,0.0,71.0,22.0,7.5,24.0,8,73.0
12,2001,9,10,1.81,0.0,0.0,0.0,85.0,17.0,7.9,70.0,7,82.0
6,2001,0,26,0.02,0.01,0.0,0.0,54.0,6.0,7.5,24.0,1,64.5
15,2000,9,12,0.0,0.0,0.05,0.0,71.0,22.0,7.5,24.0,8,73.0
14,2002,7,19,0.0,0.0,0.02,0.0,71.0,22.0,7.5,24.0,8,73.0
9,1997,10,10,0.15,0.39,0.0,0.03,71.0,22.0,7.5,24.0,8,73.0
14,2001,6,19,0.09,0.06,0.0,0.01,71.0,22.0,7.5,24.0,8,73.0
19,2015,0,16,0.0,0.0,0.19,0.0,71.0,22.0,8.8,17.0,7,79.5
12,2008,11,10,0.03,1.06,0.0,0.08,84.0,75.0,5.3,1711.0,2,68.5
18,2012,0,19,0.0,0.0,0.01,0.0,71.0,22.0,7.5,24.0,8,73.0
12,2009,1,19,0.0,0.01,0.0,0.0,54.0,13.0,7.5,24.0,8,64.5
25,2011,3,10,0.02,0.07,0.0,0.01,71.0,22.0,7.5,24.0,1,73.0
16,2010,10,12,0.0,0.0,0.23,0.0,71.0,22.0,7.5,24.0,8,73.0
18,2008,1,25,0.0,0.0,0.01,0.0,71.0,22.0,7.5,24.0,8,73.0
15,2008,1,11,0.0,0.0,0.04,0.0,71.0,22.0,7.5,24.0,8,73.0
16,2011,10,12,0.0,0.0,0.26,0.0,71.0,22.0,7.5,24.0,8,73.0
28,2002,0,23,0.06,0.02,0.0,0.0,70.0,11.0,8.9,20.0,7,79.5
